.TW,1713,1713.TW,國化
.TW,1714,1714.TW,和桐
.TW,1717,1717.TW,長興
.TW,1718,1718.TW,中纖
.TW,1720,1720.TW,生達
.TW,1721,1721.TW,三晃
.TW,1722,1722.TW,台肥
.TW,1723,1723.TW,中碳
.TW,1725,1725.TW,元禎
.TW,1726,1726.TW,永記
.TW,1727,1727.TW,中華化
.TW,1730,1730.TW,花仙子
.TW,1731,1731.TW,美吾華
.TW,1732,1732.TW,毛寶
.TW,1733,1733.TW,五鼎
.TW,1734,1734.TW,杏輝
.TW,1735,1735.TW,日勝化
.TW,1736,1736.TW,喬山
.TW,1737,1737.TW,臺鹽
.TW,1752,1752.TW,南光
.TW,1760,1760.TW,寶齡富錦
.TW,1762,1762.TW,中化生
.TW,1773,1773.TW,勝一
.TW,1776,1776.TW,展宇
.TW,1783,1783.TW,和康生
.TW,1786,1786.TW,科妍
.TW,1789,1789.TW,神隆
.TW,1795,1795.TW,美時
.TW,1802,1802.TW,台玻
.TW,1805,1805.TW,寶徠
.TW,1806,1806.TW,冠軍
.TW,1808,1808.TW,潤隆
.TW,1809,1809.TW,中釉
.TW,1810,1810.TW,和成
.TW,1817,1817.TW,凱撒衛
.TW,1903,1903.TW,士紙
.TW,1904,1904.TW,正隆
.TW,1905,1905.TW,華紙
.TW,1906,1906.TW,寶隆
.TW,1907,1907.TW,永豐餘
.TW,1909,1909.TW,榮成
.TW,2002,2002.TW,中鋼
.TW,2006,2006.TW,東和鋼鐵
.TW,2007,2007.TW,燁興
.TW,2008,2008.TW,高興昌
.TW,2009,2009.TW,第一銅
.TW,2010,2010.TW,春源
.TW,2012,2012.TW,春雨
.TW,2013,2013.TW,中鋼構
.TW,2014,2014.TW,中鴻
.TW,2015,2015.TW,豐興
.TW,2017,2017.TW,官田鋼
.TW,2020,2020.TW,美亞
.TW,2022,2022.TW,聚亨
.TW,2023,2023.TW,燁輝
.TW,2024,2024.TW,志聯
.TW,2025,2025.TW,千興
.TW,2027,2027.TW,大成鋼
.TW,2028,2028.TW,威致
.TW,2029,2029.TW,盛餘
.TW,2030,2030.TW,彰源
.TW,2031,2031.TW,新光鋼
.TW,2032,2032.TW,新鋼
.TW,2033,2033.TW,佳大
.TW,2034,2034.TW,允強
.TW,2038,2038.TW,海光
.TW,2049,2049.TW,上銀
.TW,2059,2059.TW,川湖
.TW,2062,2062.TW,橋椿
.TW,2069,2069.TW,運錩
.TW,2101,2101.TW,南港
.TW,2102,2102.TW,泰豐
.TW,2103,2103.TW,台橡
.TW,2104,2104.TW,國際中橡
.TW,2105,2105.TW,正新
.TW,2106,2106.TW,建大
.TW,2107,2107.TW,厚生
.TW,2108,2108.TW,南帝
.TW,2109,2109.TW,華豐
.TW,2114,2114.TW,鑫永銓
.TW,2115,2115.TW,六暉-KY
.TW,2201,2201.TW,裕隆
.TW,2204,2204.TW,中華
.TW,2206,2206.TW,三陽工業
.TW,2207,2207.TW,和泰車
.TW,2208,2208.TW,台船
.TW,2211,2211.TW,長榮鋼
.TW,2227,2227.TW,裕日車
.TW,2228,2228.TW,劍麟
.TW,2231,2231.TW,為升
.TW,2233,2233.TW,宇隆
.TW,2236,2236.TW,百達-KY
.TW,2239,2239.TW,英利-KY
.TW,2241,2241.TW,艾姆勒
.TW,2243,2243.TW,宏旭-KY
.TW,2247,2247.TW,汎德永業
.TW,2248,2248.TW,華勝-KY
.TW,2250,2250.TW,IKKA-KY
.TW,2254,2254.TW,巨鎧精密-創
.TW,2258,2258.TW,鴻華先進-創
.TW,2301,2301.TW,光寶科
.TW,2302,2302.TW,麗正
.TW,2303,2303.TW,聯電
.TW,2305,2305.TW,全友
.TW,2308,2308.TW,台達電
.TW,2312,2312.TW,金寶
.TW,2313,2313.TW,華通
.TW,2314,2314.TW,台揚
.TW,2316,2316.TW,楠梓電
.TW,2317,2317.TW,鴻海
.TW,2321,2321.TW,東訊
.TW,2323,2323.TW,中環
.TW,2324,2324.TW,仁寶
.TW,2327,2327.TW,國巨
.TW,2328,2328.TW,廣宇
.TW,2329,2329.TW,華泰
.TW,2330,2330.TW,台積電
.TW,2331,2331.TW,精英
.TW,2332,2332.TW,友訊
.TW,2337,2337.TW,旺宏
.TW,2338,2338.TW,光罩
.TW,2340,2340.TW,台亞
.TW,2342,2342.TW,茂矽
.TW,2344,2344.TW,華邦電
.TW,2345,2345.TW,智邦
.TW,2347,2347.TW,聯強
.TW,2348,2348.TW,海悅
.TW,2349,2349.TW,錸德
.TW,2351,2351.TW,順德
.TW,2352,2352.TW,佳世達
.TW,2353,2353.TW,宏碁
.TW,2354,2354.TW,鴻準
.TW,2355,2355.TW,敬鵬
.TW,2356,2356.TW,英業達
.TW,2357,2357.TW,華碩
.TW,2359,2359.TW,所羅門
.TW,2360,2360.TW,致茂
.TW,2362,2362.TW,藍天
.TW,2363,2363.TW,矽統
.TW,2364,2364.TW,倫飛
.TW,2365,2365.TW,昆盈
.TW,2367,2367.TW,燿華
.TW,2368,2368.TW,金像電
.TW,2369,2369.TW,菱生
.TW,2371,2371.TW,大同
.TW,2373,2373.TW,震旦行
.TW,2374,2374.TW,佳能
.TW,2375,2375.TW,凱美
.TW,2376,2376.TW,技嘉
.TW,2377,2377.TW,微星
.TW,2379,2379.TW,瑞昱
.TW,2380,2380.TW,虹光
.TW,2382,2382.TW,廣達
.TW,2383,2383.TW,台光電
.TW,2385,2385.TW,群光
.TW,2387,2387.TW,精元
.TW,2388,2388.TW,威盛
.TW,2390,2390.TW,云辰
.TW,2392,2392.TW,正崴
.TW,2393,2393.TW,億光
.TW,2395,2395.TW,研華
.TW,2397,2397.TW,友通
.TW,2399,2399.TW,映泰
.TW,2401,2401.TW,凌陽
.TW,2402,2402.TW,毅嘉
.TW,2404,2404.TW,漢唐
.TW,2405,2405.TW,輔信
.TW,2406,2406.TW,國碩
.TW,2408,2408.TW,南亞科
.TW,2409,2409.TW,友達
.TW,2412,2412.TW,中華電
.TW,2413,2413.TW,環科
.TW,2414,2414.TW,精技
.TW,2415,2415.TW,錩新
.TW,2417,2417.TW,圓剛
.TW,2419,2419.TW,仲琦
.TW,2420,2420.TW,新巨
.TW,2421,2421.TW,建準
.TW,2423,2423.TW,固緯
.TW,2424,2424.TW,隴華
.TW,2425,2425.TW,承啟
.TW,2426,2426.TW,鼎元
.TW,2427,2427.TW,三商電
.TW,2428,2428.TW,興勤
.TW,2429,2429.TW,銘旺科
.TW,2430,2430.TW,燦坤
.TW,2431,2431.TW,聯昌
.TW,2432,2432.TW,倚天酷碁-創
.TW,2433,2433.TW,互盛電
.TW,2434,2434.TW,統懋
